verse,source,author,tags,explanation,likes
人心惟危，道心惟微，惟精惟一，允执厥中。,尚书·虞书·大禹谟,佚名,人心，道心，精微,人心是危险难安的，道心却微妙难明。惟有精心体察，专心守住，才能坚持一条不偏不倚的正确路线。允执厥中：谓言行符合不偏不倚的中正之道。此句是儒学乃至中国文化传统中著名的"十六字心传"，孔门儒学主张根据这十六个字去治理国家、教化人民。,2456
富在术数，不在劳身；利在势居，不在力耕。,盐铁论·通有篇,西汉·桓宽,努力，思维，富裕,强调财富积累和利益获取的关键在于策略谋划与格局把握，而非单纯依赖体力劳动。这一观点揭示了资源分配、战略思维与时代趋势的重要性，对现代经济管理、个人发展仍有深刻启示。,1872
你看到的永远只是你想看到的。,,佚名,认知偏差,人类大脑会自动过滤不符合自身预设的信息，揭露"客观事实"的欺骗性。,1567
暴力革命从不会带来真正的平等，只会制造新的特权阶级。,动物农场,乔治·奥威尔,政治哲学,历史证明，推翻权力结构后，新统治集团往往会复刻旧体系的剥削模式。,2890
免费的东西最昂贵。,,注意力经济理论,商业逻辑,免费服务实际用用户的注意力/数据支付成本，用户才是被销售的商品。,2345
所有利润都来自于认知差。,,乔治·索罗斯,商业本质,消除认知差=消灭利润空间，商业竞争本质是认知竞争。,1987
技术进步不会消灭贫困，只是重新定义贫困。,未来简史,尤瓦尔·赫拉利,社会演化,贫困永远相对存在，现在的贫困可能是"无法支付脑机接口费用"。,2678
群体决策的质量取决于最无知的那个人。,,孔多塞,决策陷阱,民主投票中，一个无知者的选择可能抵消多个理性人的正确判断。,1456
你无法用制造问题的思维来解决问题。,,爱因斯坦,系统思维,跳出原有框架才能破局，延长工作时间不如改变工作方式。,2789
当你说"我没得选"时，其实已做出了选择。,存在与虚无,让-保罗·萨特,存在主义,声称被迫本质是权衡代价后的选择，人永远保有选择权。,1678
法律保护你时已默认你无力自保。,利维坦延伸,托马斯·霍布斯,权力规则,法律本质是弱者与强者的契约，维权行为已承认弱势地位。,2345
你永远赚不到认知以外的钱。,,佚名,商业本质,财富的积累本质上是认知能力的兑现，市场机会永远存在，但能否识别并抓住取决于个人的认知水平。依靠运气或信息不对称赚取的财富，往往会在认知不足的情况下亏回去。真正的致富路径是持续拓展认知边界。盲目跟风投资容易成为"韭菜"。破除方法是：1）建立能力圈（只投懂的领域）2）记录错题本（复盘错误决策）3）遵守"不懂不做"铁律。,2987
战争是政治的延续。,战争论,克劳塞维茨,政治哲学,军事行动从来不是孤立的，而是服务于政治目标。历史上所有战争的背后，本质是利益冲突在武力层面的表现。理解这一点，可以避免对战争过于浪漫化或简单化的解读，而能从地缘政治、资源争夺等更深层次分析冲突。,2567
存在先于本质。,存在主义,萨特,哲学,人并没有天生的"本性"，而是通过自己的选择和行动塑造自己。这否定了一切决定论，强调人的自由意志和责任。这意味着个人可以通过主动作为改变命运，而不是被动接受社会或命运的设定。,1789
权力导致腐败，绝对权力导致绝对腐败。,,阿克顿勋爵,权力规则,任何权力，如果缺乏制衡，最终都会走向滥用和腐化。这一规律适用于政治、商业甚至家庭关系。正因为如此，民主制度、分权机制和监察体系不可或缺。认识到这一点，才能更好地设计组织结构和治理方式。,2678
人类的悲剧在于懂得太多道理却依然过不好这一生。,,佚名,生活哲学,信息爆炸的时代，人们掌握的理论知识远超过去，但许多人仍然陷入焦虑、迷茫和低效循环。问题不在于知道得太少，而在于行动力不足，或者理论无法与实践结合。真正的智慧在于知行合一的选择和执行。,2345
所有的真爱都将通向自我救赎。,,佚名,情感智慧,真正的爱不是依赖、索取或控制，而是双向成长，最终让彼此成为更完整的人。那些让你沉迷却阻碍发展的"爱"，本质是消耗。健康的关系应促进双方的独立和进化，而不是制造共生依赖。,1890
市场永远是对的。,,佚名,投资哲学,市场价格反映了所有已知信息的综合作用，包括投资者心理、经济数据、政策变动等。如果市场走势与个人预判相反，往往不是因为市场"犯错"，而是个人认知存在盲点。成功投资者必须学会跟随市场，而非固执己见。,2567
